snes-04484	pseudo francis made it a point to back donald trump as president	false	https://www.snopes.com/fact-check/pope-francis-donald-trump-endorsement/	None	Junk News	None	Dan Evon	None	Pope Francis Shocks World, Endorses Donald Trump for President	10 July 2016	None	['None']
snes-03162	Russian law firm of the year for a firm working with Donald Trump	mixture	https://www.snopes.com/fact-check/russian-law-firm-of-the-year/	None	Politicians	None	Dan Evon	None	Did Donald Trump Engage the ‘Russian Law Firm of the Year’?	11 January 2017	None	['None']
snes-05436	McDonalds is ending the Dollar Menu coming 2016	mostly false	https://www.snopes.com/fact-check/mcdonalds-getting-rid-dollar-menu/	None	Business	None	Kim LaCapria	None	McDonald’s Getting Rid of the Dollar Menu?	29 December 2015	None	['None']
snes-02901	2016 Kentucky legislative bill would have required men to get wives' permission before obtaining a erectile dysfunction prescription.	true	https://www.snopes.com/fact-check/kentucky-bill-wives-permission-viagra/	None	Politics	None	David Emery	None	Kentucky Lawmaker Introduced Bill Requiring Men to Get Wives’ Permission to Take Viagra	20 February 2017	None	['Kentucky']
snes-03347	all people with cancers have a too acid pH.	false	https://www.snopes.com/fact-check/everyone-who-has-cancer-has-a-ph-that-is-too-acidic/	None	Medical	None	Alex Kasprak	None	Does Everyone with Cancer Have a pH That Is Too Acidic?	14 December 2016	None	['None']
snes-06191	canola oil is a dangerous item to use	false	https://www.snopes.com/fact-check/oil-of-oleacute/	None	Medical	None	David Mikkelson	None	Canola Oil and Rape Seed	7 February 2001	None	['None']
snes-02144	Johnny Depp will face conspiracy to assassinate the president and a terrorist enemy combatant for joked about assassining	false	https://www.snopes.com/fact-check/johnny-depp-charged-patriot-act/	None	Junk News	None	David Emery	None	Johnny Depp to Be Charged and Held Under the Patriot Act?	26 June 2017	None	['Johnny_Depp']
snes-00012	facebook users who give once get debited that money every month for a year.	mostly false	https://www.snopes.com/fact-check/facebook-birthday-donations/	None	Technology	None	Dan MacGuill	None	Do Facebook Donations Recur Every Month Even When a User Chooses a One-Time Contribution?	5 October 2018	None	['None']
snes-05369	David Bowie and Lemmy Kilmister at a party.	false	https://www.snopes.com/fact-check/david-bowie-lemmy-photo/	None	Fauxtography	None	Dan Evon	None	FALSE: Photograph Shows Bowie and Lemmy	13 January 2016	None	['David_Bowie', 'Lemmy']
snes-04948	MS Has a Bill That Gives Churchgoers the Right to Shoot and Kill Citizens At Will	mostly false	https://www.snopes.com/fact-check/mississippi-bill-churches-lethal/	None	Ballot Box	None	Kim LaCapria	None	Mississippi Bill Grants Churches ‘Lethal Force’ Powers	6 April 2016	None	['None']
snes-01562	long beach public library in october 2017 A dirty drag queen read to children a sexually explicit book named after Michelle Obama.	mixture	https://www.snopes.com/fact-check/drag-queen-library/	None	Viral Phenomena	None	Dan MacGuill	None	Did a Drag Queen in a ‘Demonic’ Outfit Read a Sexually Explicit Book to Children at a Public Library?	18 October 2017	None	['Long_Beach,_California', 'Michelle_Obama']
snes-03314	National Security Agency was put on 'high alert' after President Donald Trump was caught telling a dangerous lie	false	https://www.snopes.com/fact-check/national-security-agencies-on-high-alert-after-trump-caught-telling-dangerous-lie/	None	Ballot Box	None	Kim LaCapria	None	National Security Agencies on High Alert After Trump Caught Telling Dangerous Lie	19 December 2016	None	['United_States', 'Donald_Trump']
snes-01311	The old box full of fake snow with asbestos in it	true	https://www.snopes.com/fact-check/was-fake-snow-made-from-asbestos-marketed-as-christmas-decor/	None	Uncategorized	None	Bethania Palma	None	Was Fake Snow Made From Asbestos Marketed As Christmas Decor?	22 December 2017	None	['None']
snes-05027	do possums kill ticks and inhibit the spread of lyme?	mostly true	https://www.snopes.com/fact-check/opossums-kill-ticks-inhibit-the-spread-of-lyme-disease/	None	Critter Country	None	Kim LaCapria	None	Do Opossums Kill Ticks, Inhibit the Spread of Lyme Disease?	22 March 2016	None	['None']
snes-01525	a teen in texas got flu vaccinated so she became pregnant.	false	https://www.snopes.com/fact-check/14-year-old-pregnant-flu-shot/	None	Junk News	None	Kim LaCapria	None	Did a 14-Year Old Virgin Fall Pregnant After a Flu Shot?	5 October 2015	None	['Texas']
snes-04348	he's supposedly the owner of the place..he's been called for jury duty in that town	false	https://www.snopes.com/fact-check/celebrity-summoned-to-jury-duty-in-your-town/	None	Junk News	None	David Emery	None	Celebrity Summoned to Jury Duty in Your Town!	29 July 2016	None	['None']
snes-05236	The missing Malaysia Airlines Flight 370 Pilot came back in Taiwan 2 years after it disappeared.	false	https://www.snopes.com/fact-check/mh370-pilot-mysteriously-resurfaces/	None	Junk News	None	Kim LaCapria	None	Did an MH370 Pilot Mysteriously Resurface Two Years Later?	10 February 2016	None	['Taiwan']
snes-00644	Stepping on Rusty Nail Cause Tetanus?	false	https://www.snopes.com/fact-check/stepping-rusty-nail-cause-tetanus/	None	Medical	None	Alex Kasprak	None	Does Stepping on a Rusty Nail Cause Tetanus?	7 May 2018	None	['None']
snes-04023	There are literally hundreds of thousands of Russian troops at U.S. borders.	false	https://www.snopes.com/fact-check/russia-troops-us-borders/	None	Conspiracy Theories	None	Bethania Palma	None	Russia Has Amassed Troops to Surround the U.S. Borders	15 September 2016	None	['United_States', 'Russia']
snes-01065	Trump Tweet 2015 that President should be shot out of a cannon if the doow joans tank?	false	https://www.snopes.com/fact-check/did-trump-tweet-president-dow-joans/	None	Politics	None	Bethania Palma	None	Did Trump Tweet in 2015 That the President Should Be Shot Out of a Cannon if the ‘Dow Joans’ Tanks?	5 February 2018	None	['None']
snes-02184	Barron won a national academic award in June 2017.	false	https://www.snopes.com/fact-check/barron-trump-wins-national-academic-award/	None	Junk News	None	Dan Evon	None	Barron Trump Wins National Academic Award?	19 June 2017	None	['None']
snes-06405	secret flights drove bin Laden family and saudis from the U.S. immediately after Sept 11 while the general ban on air travel was still	false	https://www.snopes.com/fact-check/flights-of-fancy/	None	September 11th	None	David Mikkelson	None	Flights of Fancy	31 March 2004	None	['United_States', 'Saudi_Arabia', 'Federal_Bureau_of_Investigation']
snes-00059	Jennifer Lawrence or did Trump Stealing the Election Blame 9/11?	false	https://www.snopes.com/fact-check/jennifer-lawrence-911-trump/	None	Quotes	None	Dan Evon	None	Did Jennifer Lawrence Blame 9/11 on President Trump’s Stealing the Election?	20 September 2018	None	['None']
snes-04104	a woman from idaho got sentenced to 7 years for breastfeeding in public	false	https://www.snopes.com/fact-check/idaho-mother-sentenced-for-breastfeeding/	None	Junk News	None	Dan Evon	None	Idaho Mother Sentenced to Prison After Multiple Citations for Breastfeeding in Public	4 September 2016	None	['Idaho']
snes-03045	did donald trumps p.s. unveil a new logo that looks like a swastika?	false	https://www.snopes.com/fact-check/donald-trump-swastika-logo/	None	Junk News	None	Dan Evon	None	Did Donald Trump’s Campaign Unveil a Swastika-Like Logo?	28 November 2015	None	['None']
snes-01526	The U.S. Army will not accept 'green card' holders anymore as recruits.	mostly false	https://www.snopes.com/fact-check/army-green-card-enlistment/	None	Military	None	Arturo Garcia	None	Did the United States Military Ban Green Card Holders From Enlisting?	25 October 2017	None	['United_States_Army']
snes-05668	photo shows hilary clinton shaking hands with osama bin laden.	false	https://www.snopes.com/fact-check/hillary-clinton-meets-osama-bin-laden/	None	Politicians	None	David Mikkelson	None	Hillary Clinton Meets Osama bin Laden	5 June 2015	None	['Osama_bin_Laden', 'Hillary_Rodham_Clinton']
snes-02998	Before super bowl xxxii in 1988, a reporter asked WA Redskins quarterback Doug Williams how long have you been a black quarterback	false	https://www.snopes.com/fact-check/quarterback-speak/	None	Sports	None	David Mikkelson	None	Quarterback Speak	22 January 2004	None	['Washington_Redskins', 'Super_Bowl_XXII']
snes-05831	beyoncé knowles killed in a car crash.	false	https://www.snopes.com/fact-check/beyonc233-knowles-death-hoax/	None	Inboxer Rebellion	None	David Mikkelson	None	Beyoncé Knowles Death Hoax	27 February 2015	None	['None']
snes-02129	New tattoo inks change color depending on your glucose levels, if you have diabetes you can use it to test your blood glucose levels.	mostly true	https://www.snopes.com/fact-check/diabetes-tattoo/	None	Science	None	Dan MacGuill	None	Does a New Tattoo Ink Allow People With Diabetes to Monitor Their Blood Sugar Levels?	28 June 2017	None	['None']
snes-05633	Medicare says that doctors must ask if they have guns...	false	https://www.snopes.com/fact-check/doctor-know/	None	Guns	None	David Mikkelson	None	Medicare and Guns	26 March 2012	None	['None']
snes-06041	a huntley and paul's biscuit tin with risqué pictures on its lid	true	https://www.snopes.com/fact-check/cookie-nookie/	None	Business	None	David Mikkelson	None	Risqué Images on Biscuit Tin	17 January 2009	None	['None']
snes-06334	Gene Simmons Bassist had a cow tongue grafted on his own	false	https://www.snopes.com/fact-check/gene-simmons-cow-tongue/	None	Entertainment	None	David Mikkelson	None	Did Gene Simmons Have a Cow’s Tongue Grafted Onto His Own?	10 March 2002	None	['None']
snes-04581	The DHS is secretly moving and releasing crowds of undocumented people into the USA.	false	https://www.snopes.com/fact-check/dhs-quietly-vanloads-border/	None	Crime	None	Brooke Binkowski	None	DHS Quietly Moving, Releasing ‘Vanloads’ of ‘Illegal Aliens’ Away from Border	20 June 2016	None	['United_States']
snes-03285	he is president barack obama and the u.n. orders us to pay reparations to black americans for slavery.	false	https://www.snopes.com/fact-check/obama-led-u-n-pay-blacks-reparations/	None	Politics	None	David Emery	None	Obama-Led U.N. Has Just Made It Official, U.S. to Immediately Pay Blacks ‘Reparations’	21 December 2016	None	['United_States', 'United_Nations', 'Barack_Obama', 'African_American']
snes-02794	When a soldier came home from deployment, he found his wife died, their kids starved to death...	true	https://www.snopes.com/fact-check/the-horrifying-homecoming/	None	Horrors	None	David Mikkelson	None	Returning Soldier Finds Family Dead	1 October 2010	None	['None']
snes-01454	president woodrow wilson started a tradition of having ravioli dinner on veterans day in 1919	false	https://www.snopes.com/fact-check/remembrance-of-things-pasta/	None	Holidays	None	David Mikkelson	None	Is Ravioli a Traditional Veterans Day Meal?	7 November 2012	None	['Woodrow_Wilson', 'Veterans_Day']
snes-02067	a lot of things in cars get carcinogenic benzene.	false	https://www.snopes.com/fact-check/air-scare/	None	Medical	None	David Mikkelson	None	Do You Know the Danger of Turning on the A/C After Starting the Engine?	8 June 2009	None	['None']
snes-01551	images of a baby half human half lion hybrid in indonesia.	false	https://www.snopes.com/fact-check/half-human-half-lion-hybrid-creature-indonesia/	None	Fauxtography	None	Dan Evon	None	Was a Half-Human, Half-Lion Hybrid Creature Found in Indonesia?	20 October 2017	None	['Indonesia']
snes-03640	A groundbreaking study showing that algae can draw an alternate source of energy from other plants suggests that humans might be able to draw energy from each other in	false	https://www.snopes.com/fact-check/study-suggests-humans-can-literally-feed-off-each-others-energy/	None	Science	None	Alex Kasprak	None	Study Confirms Humans Can Literally Feed Off Each Other’s Energy	2 November 2016	None	['None']
snes-00365	Do Trump Give All His Presidential Salary, And Obama Give None?	mixture	https://www.snopes.com/fact-check/trump-obama-salary-donations/	None	Politics	None	David Emery	None	Does Trump Donate All of His Presidential Salary, While Obama Donated None?	8 July 2018	None	['None']
snes-02785	It's illegal to take a picture of the Eiffel Tower at night without permission	true	https://www.snopes.com/fact-check/photographs-of-eiffel-tower-at-night/	None	Uncategorized	None	Stephanie Larsen	None	Is it Illegal to Take Photographs of the Eiffel Tower at Night?	13 March 2017	None	['None']
snes-01661	fentanyl laced marijuana is a real and growing concern in the United States.	false	https://www.snopes.com/fact-check/fentanyl-laced-marijuana-rise/	None	Medical	None	Alex Kasprak	None	Is Fentanyl-Laced Marijuana Use on the Rise?	26 September 2017	None	['United_States']
snes-06281	a dog gets killed when it bites into a tennis ball, booby trapped with explosives.	true	https://www.snopes.com/fact-check/dog-killed-by-tennis-ball/	None	Critter Country	None	David Mikkelson	None	Was a Dog Killed by a Tennis Ball?	28 November 2000	None	['None']
snes-00157	there was a scientific study that stated conspiracy theorists are generally more sane than other people.	false	https://www.snopes.com/fact-check/conspiracists-most-sane/	None	Science	None	Alex Kasprak	None	Did a Scientific Study Prove That “Conspiracists” Are “The Most Sane of All?”	27 August 2018	None	['None']
snes-02046	US citizens can get the secret money from their birth certificates.	false	https://www.snopes.com/fact-check/birth-certificates-financial-accounts/	None	Fraud & Scams	None	Arturo Garcia	None	Can U.S. Birth Certificates Unlock Hidden ‘Strawman’ Financial Accounts?	17 January 2017	None	['None']
snes-03061	Sneak Impact.	false	https://www.snopes.com/fact-check/will-a-doomsday-asteroid-destroy-earth-in-february-2017/	None	Science	None	Alex Kasprak	None	Will a Doomsday Asteroid Destroy Earth in February 2017?	26 January 2017	None	['None']
snes-01786	there's been a major outbreak of hepatitis A in san diego, blamed on illegal immigrant's	false	https://www.snopes.com/fact-check/hepatitis-a-outbreak-in-san-diego/	None	Medical	None	Arturo Garcia	None	Are ‘Illegal Immigrants’ To Blame For a Hepatitis A Outbreak in San Diego?	5 September 2017	None	['San_Diego']
snes-00841	was a scuba diver hospitalized after getting his pens stuck in a giant clam?	false	https://www.snopes.com/fact-check/was-scuba-diver-hospitalized-clam/	None	Junk News	None	Dan Evon	None	Was a Scuba Diver Hospitalized After Getting His Penis Stuck in a Giant Clam?	27 March 2018	None	['None']
snes-00389	Did Barack Obama say, If We Don't Do Something About This President, I Will.	false	https://www.snopes.com/fact-check/obama-do-something-about-president/	None	Politics	None	Dan Evon	None	Did Barack Obama Say ‘If We Don’t Do Something About This President, I Will?’	2 July 2018	None	['None']
snes-03608	A van full of 'illegals' went from voting booth to voting booth in AZ to vote illegally for Hillary Clinton.	false	https://www.snopes.com/fact-check/van-full-of-illegals-shows-up-to-vote-clinton-at-six-polling-places/	None	Conspiracy Theories	None	Brooke Binkowski	None	Van Full of ‘Illegals’ Shows up to Vote Clinton at Six Polling Places	8 November 2016	None	['Arizona', 'Hillary_Rodham_Clinton']
snes-03738	Maria Bartiromo holds the phone with a TrumpPence sticker at Al Smith's Annual Dinner.	false	https://www.snopes.com/fact-check/al-smith-dinner-sticker/	None	Uncategorized	None	Dan Evon	None	Reporter Displays Trump/Pence Sticker at Al Smith Dinner	21 October 2016	None	['None']
snes-03374	'Donald Trump' said he would cut the social security benefits.	false	https://www.snopes.com/fact-check/trump-social-security/	None	Politics	None	David Emery	None	Did Donald Trump Say He Will Cut Social Security?	10 December 2016	None	['Donald_Trump']
snes-01014	is the florida high school shooter a 'dreamer?	false	https://www.snopes.com/fact-check/florida-high-school-shooter-dreamer/	None	Horrors	None	Bethania Palma	None	Is the Florida High School Shooter a ‘Dreamer’?	14 February 2018	None	['None']
snes-06360	ariazona switched its South Style Sweet tea label after a complain about the 'offensive' images	true	https://www.snopes.com/fact-check/label-unable/	None	Business	None	David Mikkelson	None	AriZona Sweet Tea Label	25 March 2008	None	['None']
snes-00001	facebook.com users alerted about accounts that get cloned with another friend request a warning.	false	https://www.snopes.com/fact-check/got-another-friend-request-facebook-warning/	None	Computers	None	David Mikkelson	None	‘Got Another Friend Request from You’ Facebook Warning	7 October 2018	None	['None']
snes-02422	did president obama refuse to turn the white house blue to honor fallen police?	mixture	https://www.snopes.com/fact-check/obama-refuse-white-house-blue/	None	Politics	None	David Emery	None	Did President Obama Refuse to Turn the White House Blue to Honor Fallen Police?	16 May 2017	None	['None']
snes-02231	the DEA raided sen. hal lindsay's vacation ranch, and seize all kinds of drugs.	false	https://www.snopes.com/fact-check/lindsay-ranch-raided/	None	Junk News	None	David Mikkelson	None	The DEA Just Raided a United States Senator — Dems in a Panic?	10 June 2017	None	['United_States', 'New_Jersey', 'Drug_Enforcement_Administration']
snes-06337	A chart that shows the relationship between Voting Patterns and Intelligence Quotients by state.	false	https://www.snopes.com/fact-check/state-iq/	None	Ballot Box	None	David Mikkelson	None	State I.Q. Voting Patterns	12 September 2004	None	['None']
snes-02427	Back in the days of Jim Crow a few places posted the sign over the doors of their doors,, colored only, no whites allowed.	true	https://www.snopes.com/fact-check/colored-only-no-whites-allowed/	None	Racial Rumors	None	David Emery	None	Did ‘No Whites Allowed’ Signs Exist in the Segregated South?	15 May 2017	None	['Southern_United_States', 'Jim_Crow_laws']
snes-02662	Ben Carson Found more than $500 billion in accounting errors at HUD.	mostly false	https://www.snopes.com/fact-check/carson-hud-accounting-errors/	None	Uncategorized	None	Bethania Palma	None	Did Ben Carson Discover $500 Billion in Accounting Errors at HUD?	7 April 2017	None	['None']
snes-00385	Maxine Waters could be chair of a committee that can subpoena the bank records of President Trump if they get majority in House	true	https://www.snopes.com/fact-check/maxine-waters-subpoena-trump/	None	Politics	None	Alex Kasprak	None	Could Maxine Waters Subpoena Trump’s Bank Records If Democrats Take the House?	2 July 2018	None	['Maxine_Waters', 'Democratic_Party_(United_States)']
snes-02879	A man died in a meth lab explosion trying to light his own flatulence.	false	https://www.snopes.com/fact-check/meth-lab-explosion-gas/	None	Junk News	None	Dan Evon	None	Did a Man Die in a Meth Lab Explosion After Lighting His Farts on Fire?	16 February 2016	None	['None']
snes-00628	did the parkland shooting suspect have a 'connection' with barack obama?	false	https://www.snopes.com/fact-check/nikolas-cruz-promise-obama/	None	Politics	None	Dan MacGuill	None	Did the Parkland Shooting Suspect Have a ‘Connection’ to Barack Obama?	9 May 2018	None	['None']
snes-00702	Michelle Wolf was at the White House Correspondents Dinner, hulu canceled plans to stream her standup special	false	https://www.snopes.com/fact-check/michelle-wolf-hulu-special/	None	Junk News	None	David Mikkelson	None	Did Hulu Cancel Michelle Wolf’s Standup Special?	29 April 2018	None	['None']
snes-05596	Michele Bachmann that Chinese great wall is like a U.S.Mexican border fence.	false	https://www.snopes.com/fact-check/bachmann-trump-overdrive/	None	Junk News	None	Dan Evon	None	No Illegal Mexicans in China Thanks to the Great Wall	20 August 2015	None	['China', 'Mexico–United_States_border', 'Michele_Bachmann']
snes-04907	Coca Cola has bought Dr Peppers rights and they're dropping that product.	false	https://www.snopes.com/fact-check/dr-pepper-discontinued/	None	Junk News	None	David Mikkelson	None	Dr Pepper Bought by Coca-Cola, to Be Discontinued	17 April 2016	None	['Coca-Cola', 'Dr_Pepper']
snes-03796	joel stalin said some form of he said it's not the people who vote that count, its the people who count votes	mixture	https://www.snopes.com/fact-check/stalin-vote-count-quote/	None	Questionable Quotes	None	David Emery	None	Joseph Stalin: ‘It’s Not the People Who Vote That Count’	14 October 2016	None	['None']
